Project,DeploymentID,Site,Cruise,Status,Platform,Region,Type,Instrument_ID (serial number),GPS Tracker,GPS ID (if appropriate - top / bottom),GPS Timing (if appropriate - top / bottom),Depth Sensor (serial number),Deployment_Latitude,Deployment_Longitude,Deployment_Date_UTC,"Deployment_Depth_m
",Deploy Vessel,Recovery_Date_UTC,Recovery_Latitude,Recovery_Longitude,Retrieve_Vessel,Array_name (Array letter + 2 digit version number_Hydrophone model numbers),Number_of_Sensors,ChannelNumber_1,SensorNumber_1 (hydrophone serial number),ChannelNumber_2,SensorNumber_2  (hydrophone serial number),ChannelNumber_3,SensorNumber_3  (hydrophone serial number),PreAmp_ID,Data_Start_UTC (defined once data is recovered by scanning LTSA),Data_End_UTC (defined once data is recovered by scanning LTSA),RecordingDuration_m,RecordingInterval_m,SampleRate_kHz,Quality_Category,Quality_LowFreq,Quality_HighFreq,Data_ID,High Pass Filter,Detector,Threshold,Integration Time,Blanking Time,Store Snippets,Snippet pre-trig,Snippet post-trig,Pressure,Acceleration,Temperature,Log GPS,Disable Calibration Tones,Weight Retrieval System,Acoustic Release Number,Enable Code,Anode Length,Known Takes,SanctuaryPermit,Personnel,Notes,
ADRIFT,22,MBY,CCC,Complete,drift,WCoastUSA,ST640,6667,Solar,SO-359,30,16595,35.80385,-121.877383,6/21/2022 17:46,100,R/V Fulmar,6/25/2022 16:51,35.49745,-122.023217,R/V Fulmar,H02_9299,2,1,856159,2,856177,NA,NA,NA,6/21/2022 17:37,6/25/2022 16:39,Continuous,NA,384,compromised,1500,192000,ADRIFT_022,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. Rocker stopper moved a lot. Lots of noise in the lower frequencies but broadband noise in the LTSA goes up pretty high (100kHz or so ),
ADRIFT,23,MBY,CCC,Complete,drift,WCoastUSA,ST640,6665,SPOT and solar gps,P/Q/SO-506,30/60/30,16408,35.713917,-122.1861,6/21/2022 19:11,100,R/V Fulmar,6/25/2022 21:26,35.843,-121.88,R/V Fulmar,X01_9299,2,1,856140,2,856150,NA,NA,NA,6/21/2022 19:02,6/25/2022 21:16,Continuous,NA,384,good,800,192000,ADRIFT_023,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. LF recordings are noisy. Something hitting HP,
ADRIFT,24,MBY,CCC,Complete,drift,WCoastUSA,ST640,6664,Solar,SO-919,30,16536,35.71575,-122.085283,6/21/2022 19:36,100,R/V Fulmar,6/25/2022 20:13,35.7206,-122.108667,R/V Fulmar,E02_9299,2,1,856163,2,856171,NA,NA,NA,6/21/2022 19:25,6/25/2022 20:03,Continuous,NA,384,good,65,192000,ADRIFT_024,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project,
ADRIFT,25,MBY,CCC,Complete,drift,WCoastUSA,ST640,6672,Solar,SO-082,30,16656,35.715583,-121.981633,6/21/2022 20:01,100,R/V Fulmar,6/25/2022 17:21,35.541283,-122.025417,R/V Fulmar,Z01_9299,2,1,856135,2,856148,NA,NA,NA,6/21/2022 19:49,6/25/2022 17:11,Continuous,NA,384,good,10,192000,ADRIFT_025,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project,
ADRIFT,26,MBY,CCC,Complete,drift,WCoastUSA,ST640,6663,SPOT and solar gps,AE/FB/ SO-692,30/60/30,16658,35.715583,-121.876783,6/21/2022 20:36,100,R/V Fulmar,6/25/2022 20:47,35.753433,-122.014633,R/V Fulmar,B02_9299,2,1,856165,2,856173,NA,NA,NA,6/21/2022 20:27,6/25/2022 20:39,Continuous,NA,384,unusable,NA,NA,ADRIFT_026,NA,No,NA,NA,NA,NA,NA,NA,No,,,No,Yes,NA,NA,NA,NA,NA,NA,"Shannon Rankin, Cory Hom-Weaver, Anne Simonis",CCC Pilot Project. Rocker stopper moved and caused a ton of noise. Not sure if the recordings are usable in the higher frequencies. Won't work for baleen whales ,
ADRIFT,27,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6671,SPOT and solar gps,K/AF/SO-506 ,30/60,16528,37.90122,-123.4428,7/26/2022 18:27,100,R/V Fulmar,7/30/2022 18:38,37.68333,-123.7762,R/V Fulmar,N01_92NA96,2,1,856117,2,856118,NA,NA,NA,7/26/2022 18:38,7/30/2022 17:59,Continuous,NA,384,good,,,ADRIFT_027,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,NA,CBNMS,"Jan Roletto, Dani Lipske",,
ADRIFT,28,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6668,SPOT and solar gps,G/F/SO-082,30/60,15801,37.88748,-123.3764,7/26/2022 17:05,100,R/V Fulmar,7/30/2022 18:24,37.71733,-123.7965,R/V Fulmar,K02_9299,2,1,856154,2,856170,NA,NA,NA,7/26/2022 17:47,7/30/2022 17:57,Continuous,NA,384,good,,,ADRIFT_028,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,NA,GFNMS / CBNMS,"Jan Roletto, Dani Lipske",,
ADRIFT,29,TRI,Scrimshaw,Sunk,drift,WCoastUSA,ST4300HF,5989,SPOT,E/AH,30/60,15817,41.13138,-124.4402,7/28/2022 16:10,100,F/V Scrimshaw,8/1/2022 22:47,40.94754,-124.3201,F/V Scrimshaw,L01_9296,2,1,# worn off,2,856068,NA,NA,NA,NA,NA,Continuous,NA,384,,,,ADRIFT_029,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,2 humpbacks and 1 female elephant seal spotted further inshore. Polytron line was cut and acoustic array was sunk.,
ADRIFT,30,TRI,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5987,Solar,Solar,30,15518,41.12946,-124.54122,7/28/2022 16:25,100,F/V Scrimshaw,8/1/2022 21:32,41.04706,-125.02628,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,7/28/2022 18:59,8/1/2022 14:31,Continuous,NA,384,good,,,ADRIFT_030,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,Solar GPS used and worked well.,
ADRIFT,31,TRI,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5984,SPOT,J/L,30/60,16396,41.13133,-124.6411,7/28/2022 16:45,100,F/V Scrimshaw,8/1/2022 21:30,41.08246,-125.01656,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,7/28/2022 18:59,8/1/2022 9:56,Continuous,NA,384,good,,,ADRIFT_031,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,,
ADRIFT,32,TRI,THL,Complete,drift,WCoastUSA,ST4300HF,5987,Solar,SO-001,30,16396,41.05022,-124.5336,9/13/2022 5:24,100,R/V Coral Sea,9/15/2022 18:07,41.35018,-124.54007,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,9/13/2022 7:13,9/15/2022 18:11,Continuous,NA,384,good,,,ADRIFT_032,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,,
ADRIFT,33,TRI,THL,Complete,drift,WCoastUSA,ST4300HF,5984,Solar,SO-798,30,15865,41.05015,-124.4334,9/13/2022 4:26,100,R/V Coral Sea,9/15/2022 17:35,41.45931,-124.44917,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,9/13/2022 4:51,9/15/2022 17:24,Continuous,NA,384,good, ,,ADRIFT_033,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,NA,NA,Blair Winnacott,,
ADRIFT,34,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6688,SPOT and solar gps,F/G/SO-082,30,16528,38.047517,-123.561683,9/27/2022 17:43,100,R/V Fulmar,10/1/2022 16:45,38.33218,-123.45027,R/V Fulmar,K02_9299,2,1,856154,2,856170,NA,NA,NA,9/27/2022 18:41,10/1/2022 15:58,Continuous,NA,384,good,,,ADRIFT_034,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,NA,GFNMS / CBNMS,"Jan Roletto, Dani Lipske",,
ADRIFT,35,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6671,SPOT and solar gps,K/AF/SO-506,30,15801,38.130383,-123.530033,9/26/2022 17:55,100,R/V Fulmar,10/1/2022 18:00,38.04729,-123.41403,R/V Fulmar,N01_92NA96,2,1,856117,2,856118,NA,NA,NA,NA,NA,Continuous,NA,384,unusable,,,ADRIFT_035,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,appears to have grounded on Cordell bank around 23:30 September 30; recorder never turned on,NA,CBNMS,"Jan Roletto, Dani Lipske",,
ADRIFT,36,TRI,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5984,Solar,SO-638,30/60,15865,41.05025,-124.43292,11/16/2022 17:00,100,F/V Scrimshaw,11/21/2022 17:49,40.93095,-124.34114,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,,,Continuous,NA,384,,,,ADRIFT_036,,,,,,,,,,,,,,,,,,NA,NA,"Roxanne Robertson, Eric Bjorkstedt",,
ADRIFT,37,TRI,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,8025,Solar,SO-798,,16396,41.05077,-124.5109,11/16/2022 17:00,100,F/V Scrimshaw,11/21/2022 18:18,41.01446,-124.40581,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,,,Continuous,NA,,,,,ADRIFT_037,,,,,,,,,,,,,,,,,,,,"Roxanne Robertson, Eric Bjorkstedt",,
ADRIFT,38,TRI,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5987,Solar,SO-001,,15518,41.05112,-124.58429,11/16/2022 17:00,100,F/V Scrimshaw,11/21/2022 18:08,40.99065,-124.41114,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,,,Continuous,NA,,,,,ADRIFT_038,,,,,,,,,,,,,,,,,,,,"Roxanne Robertson, Eric Bjorkstedt",,
ADRIFT,39,TRI,Scrimshaw,Active,drift,WCoastUSA,ST4300HF,5984,Solar,SO-638,,15865,40.8114,-124.4739,12/13/2022 21:19,100,F/V Scrimshaw,12/16/2022:20:27,40.7025,-124.54954,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRIFT,40,TRI,Scrimshaw,Active,drift,WCoastUSA,ST4300HF,8025,Solar,SO-798,,16396,40.8114,-124.5438,12/13/2022 21:35,100,F/V Scrimshaw,12/16/2022 21:14,40.82093,-124.73885,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRIFT,41,TRI,Scrimshaw,Active,drift,WCoastUSA,ST4300HF,5987,Solar,SO-001,,15518,40.8072,-124.609,12/13/2022 21:48,100,F/V Scrimshaw,12/16/2022 22:21,41.04001,-124.42999,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRIFT,42,ORE,HALO,In Prep,drift,WCoastUSA,ST4300HF,5296,Solar,SO-533,NA,14434,44.65219,-125.1965,,100,R/V Pacific Storm,1/30/2023 13:00,,,,,2,1,,1,,NA,NA,NA,,,Continuous,NA,384,,,,ADRIFT_042,NA,No,NA,NA,NA,NA,NA,NA,,,,,Yes,NA,NA,NA,NA,NA,NA,"Craig Hayslip, Angela Szesciorka, Miranda/Imogen Mayhall, Dawn Barlow",ORE Pilot Study,
ADRIFT,43,ORE,HALO,In Prep,drift,WCoastUSA,ST4300HF,5986,Solar,SO-588,NA,17435,44.59575,-125.0944,,100,R/V Pacific Storm,1/30/2023 13:00,,,,,2,1,,1,,NA,NA,NA,,,Continuous,NA,384,,,,ADRIFT_043,NA,No,NA,NA,NA,NA,NA,NA,,,,,Yes,NA,NA,NA,NA,NA,NA,"Craig Hayslip, Angela Szesciorka, Miranda/Imogen Mayhall, Dawn Barlow",ORE Pilot Study,
ADRIFT,44,ORE,HALO,In Prep,drift,WCoastUSA,ST4300HF,5991,Solar,SO-692,NA,17438,44.66938,-125.0553,,100,R/V Pacific Storm,1/30/2023 13:00,,,,,2,1,,1,,NA,NA,NA,,,Continuous,NA,384,,,,ADRIFT_044,NA,No,NA,NA,NA,NA,NA,NA,,,,,Yes,NA,NA,NA,NA,NA,NA,"Craig Hayslip, Angela Szesciorka, Miranda/Imogen Mayhall, Dawn Barlow",ORE Pilot Study,
ADRIFT,45,ORE,HALO,In Prep,drift,WCoastUSA,ST4300HF,5994,Solar,SO-865,NA,17439,44.7259,44.7259,,100,R/V Pacific Storm,1/30/2023 13:00,,,,,2,1,,1,,NA,NA,NA,,,Continuous,NA,384,,,,ADRIFT_045,NA,No,NA,NA,NA,NA,NA,NA,,,,,Yes,NA,NA,NA,NA,NA,NA,"Craig Hayslip, Angela Szesciorka, Miranda/Imogen Mayhall, Dawn Barlow",ORE Pilot Study,
ADRIFT,8,HMB,ACCESS,Lost,drift,WCoastUSA,ST4300HF,5297,SPOT,A/B,30/60,15756,37.13713,-122.96428,6/9/2021,100,R/V Fullmar,NA,NA,NA,NA,O01_9296,2,1,1,2,0,3,3,NA,NA,NA,6,12,384,unverified,NA,NA,ADRIFT_008,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,Lost at sea (not retrieved)
ADRIFT,2,HMB,ACCESS,Complete,drift,WCoastUSA,ST4300HF,5296,SPOT,X/Y,30/60,15712,37.38445,-122.39095,6/9/2021,100,R/V Fullmar,6/29/2021,36.97772,-124.24507,R/V Shimada,K01_9296,2,1,1,2,2,3,0,NA,6/9/2021 11:30,6/16/2021 15:48,6,6,384,compromised,NA,NA,ADRIFT_002,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,Actually continuous recording
ADRIFT,7,SFB,ACCESS,Complete,drift,WCoastUSA,ST4300HF,5318,SPOT,E/AH,30/60,15720,37.84347,-123.4218,6/10/2021,100,R/V Fullmar,6/24/2021,37.69527,-123.35722,R/V Fulmar,M01_9296,2,1,1,2,0,3,3,NA,6/10/2021 17:33,6/24/2021 10:00,6,12,384,compromised,NA,NA,ADRIFT_007,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,DASBR included Blue Oceans test buoy
ADRIFT,5,SFB,ACCESS,Complete,drift,WCoastUSA,ST4300HF,1208786975,SPOT,K/AF,30/60,15815,37.64012,-123.31702,6/10/2021,100,R/V Fullmar,6/24/2021,37.35722,-123.40192,R/V Fulmar,P01_9296,2,1,1,2,0,3,3,NA,6/10/2021 18:30,6/22/2021 21:21,6,12,384,compromised,NA,NA,ADRIFT_005,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,Duty cycle seems to change; Check to see if all files actually copied over
ADRIFT,6,SFB,ACCESS,Complete,drift,WCoastUSA,ST4300HF,5318,SPOT,K/AF,30/60,15815,38.12932,-123.54153,7/25/2021,100,R/V Fullmar,7/28/2021,38.12057,-123.31761,F/V Karen Jeanne,M01_9296,2,1,1,2,0,3,3,NA,7/25/2021 19:12,7/28/2021 22:05,6,12,384,compromised,NA,NA,ADRIFT_006,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,Dick Ogg,Removed Blue Oceans buoy to attempt to reduce noise
ADRIFT,3,SFB,ACCESS,Complete,drift,WCoastUSA,ST4300HF,1208786975,SPOT,E/AH,30/60,15720,37.96585,-123.50412,7/25/2021,100,R/V Fullmar,8/3/2021,38.03326,-123.47699,R/V Mussel Point,P01_9296,2,1,1,2,0,3,3,NA,7/25/2021 18:35,8/3/2021 16:32,6,12,384,compromised,NA,NA,ADRIFT_003,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,Cordell Bank National Marine Sanctuary,Grounded on Cordell Bank 7/27/2021 at 10:30
ADRIFT,1,CRC,MBARI,Complete,drift,WCoastUSA,ST4300HF,5987,SPOT,R/S,30/60,16396,41.07169,-124.35431,8/22/2021,100,R/V Western Flyer,9/4/2021,41.19933,-124.35431,F/V Scrimshaw,W01_9299,2,1,856135,2,856147,3,NA,NA,8/22/2021 12:00,8/29/2021 2:30,6,12,384,compromised,NA,NA,ADRIFT_001,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,
ADRIFT,9,TRI,THL,Sunk,drift,WCoastUSA,ST4300HF,5985,SPOT,G/F,30/60,16835,41.03417,-124.29747,9/7/2021,100,R/V Coral Sea,NA,NA,NA,R/V Fairweather,Y01_9299,2,1,856134,2,856146,3,NA,NA,NA,NA,6,12,384,NA,NA,NA,ADRIFT_009,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,Acoustic array lost at sea. High flyer with spots recovered. Rope near surface buoy snapped upon retrieval
ADRIFT,10,SFB,ACCESS,Sunk,drift,WCoastUSA,ST4300HF,1208786975,SPOT,E/AH,30/60,15815,37.80386,-123.38908,9/25/2021,50,R/V Fullmar,10/14/2021,35.94354,-123.39748,R/V Zephyr,M01_9296,2,1,856116,2,NA,3,856120,NA,NA,NA,6,12,384,NA,NA,NA,ADRIFT_010,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,
ADRIFT,4,CRC,CPS,Lost,drift,WCoastUSA,ST4300HF,5988,SPOT,A/B,30/60,16627,41.84475,-125.0939,7/31/2021,100,R/V Lasker,NA,NA,NA,NA,K01_9296,2,1,856097,2,856059,3,NA,NA,NA,NA,6,12,384,NA,NA,NA,ADRIFT_004,NA,,,,,,,,,,,,,,,,,,,,,
ADRIFT,11,SFB,ACCESS,Sunk,drift,WCoastUSA,ST4300HF,5318,SPOT,K/AF,30/60,15720,37.640683,-123.1331,9/25/2021,50,R/V Fullmar,10/15/2021,36.65655,-123.5215,R/V Fairweather,P01_9296,2,1,856122,2,NA,3,856121,NA,NA,NA,6,12,384,NA,NA,NA,ADRIFT_011,NA,No,NA,NA,NA,NA,NA,NA,No,10,10,No,Yes,NA,NA,NA,NA,,,,,
